Kod;Nazwa;Wskaźniki;Rok;Wartosc;Jednostka miary;Atrybut
620032;Komarów-Osada (2);ludność na 1 km2;2006;44;osoba; 
620043;Krasnobród (3);ludność na 1 km2;2006;57;osoba; 
620052;Łabunie (2);ludność na 1 km2;2006;72;osoba; 
620062;Miączyn (2);ludność na 1 km2;2006;40;osoba; 
620072;Nielisz (2);ludność na 1 km2;2006;53;osoba; 
620082;Radecznica (2);ludność na 1 km2;2006;59;osoba; 
620092;Sitno (2);ludność na 1 km2;2006;61;osoba; 
620102;Skierbieszów (2);ludność na 1 km2;2006;40;osoba; 
620112;Stary Zamość (2);ludność na 1 km2;2006;56;osoba; 
620122;Sułów (2);ludność na 1 km2;2006;55;osoba; 
620133;Szczebrzeszyn (3);ludność na 1 km2;2006;97;osoba; 
620142;Zamość (2);ludność na 1 km2;2006;104;osoba; 
620153;Zwierzyniec (3);ludność na 1 km2;2006;47;osoba; 
661011;Biała Podlaska (1);ludność na 1 km2;2006;1176;osoba; 
662011;Chełm (1);ludność na 1 km2;2006;1924;osoba; 
663011;Lublin (1);ludność na 1 km2;2006;2397;osoba; 
664011;Zamość (1);ludność na 1 km2;2006;2192;osoba; 
